true\pred,call,dislike,fist,four,like,mute,ok,one,palm,peace,peace_inverted,rock,stop,stop_inverted,three,three2,two_up,two_up_inverted
call,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dislike,1,45,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
fist,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
four,4,0,4,17,0,0,1,0,24,0,0,0,0,0,0,0,0,0
like,25,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
mute,13,1,1,0,0,31,0,1,0,0,0,1,0,0,0,0,0,2
ok,7,0,0,1,0,0,38,0,0,0,0,1,0,0,0,3,0,0
one,14,1,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,2
palm,0,0,0,0,0,0,2,0,47,0,0,0,0,0,0,1,0,0
peace,20,2,2,0,0,0,1,5,0,4,0,0,0,0,6,8,2,0
peace_inverted,35,3,1,0,0,1,0,0,1,0,5,0,0,0,0,2,0,2
rock,7,1,1,1,0,1,0,0,0,2,5,30,0,0,0,2,0,0
stop,25,3,0,0,2,2,0,2,0,0,0,0,4,3,1,0,0,8
stop_inverted,28,1,3,0,1,0,1,2,3,0,2,0,0,1,0,0,0,8
three,9,8,1,5,0,0,3,2,4,0,3,0,0,0,7,7,0,1
three2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,43,0,0
two_up,28,0,0,0,0,0,0,18,0,0,2,1,0,0,0,0,0,1
two_up_inverted,44,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2
