true\pred,call,dislike,fist,four,like,mute,ok,one,palm,peace,peace_inverted,rock,stop,stop_inverted,three,three2,two_up,two_up_inverted
call,47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
dislike,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fist,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
four,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
like,1,0,0,0,47,0,0,0,0,0,0,0,1,0,0,0,0,1
mute,0,1,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
ok,0,0,0,0,0,0,47,0,0,0,1,0,0,0,1,1,0,0
one,0,0,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
palm,0,0,0,8,0,0,0,0,40,0,0,1,0,0,1,0,0,0
peace,0,0,1,0,0,0,0,0,1,43,0,0,0,0,1,2,2,0
peace_inverted,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0
rock,2,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0
stop_inverted,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,1
three,0,0,0,1,0,1,0,0,0,0,0,0,0,0,47,1,0,0
three2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,44,0,0
two_up,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,46,1
two_up_inverted,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,46
