epoch,accuracy,distill_loss,learning_rate,loss,supervised_loss,val_accuracy,val_distill_loss,val_loss,val_supervised_loss
0,0.4592832922935486,1.8336964845657349,0.00015999999595806003,1.8962130546569824,1.9298774003982544,0.6807926297187805,0.0,1.38566255569458,1.38566255569458
1,0.7988511323928833,1.1801685094833374,0.00031999999191612005,1.1313499212265015,1.105064034461975,0.8685199618339539,0.0,0.8745167255401611,0.8745167255401611
2,0.8913596272468567,0.8322421908378601,0.0004799999878741801,0.8365805745124817,0.8389140963554382,0.9308341145515442,0.0,0.6642193794250488,0.6642193794250488
3,0.9210152626037598,0.666606068611145,0.0006399999838322401,0.7163180112838745,0.7430843710899353,0.9478124380111694,0.0,0.5639907717704773,0.5639907717704773
4,0.9353049993515015,0.5724869966506958,0.0007999999797903001,0.6510007381439209,0.6932761073112488,0.9151084423065186,0.0,0.6451289057731628,0.6451289057731628
5,0.9437999725341797,0.5119079351425171,0.0007999999797903001,0.6087937951087952,0.6609629988670349,0.9631759524345398,0.0,0.5063731074333191,0.5063731074333191
6,0.9492536187171936,0.4754696786403656,0.000799850036855787,0.5825833678245544,0.6402595639228821,0.9669790863990784,0.0,0.4980556070804596,0.4980556070804596
7,0.95249342918396,0.4519684910774231,0.0007994002080522478,0.5664704442024231,0.6281254887580872,0.9633570313453674,0.0,0.4908711314201355,0.4908711314201355
8,0.9543299674987793,0.43345701694488525,0.0007986509008333087,0.5539752840995789,0.6188704967498779,0.9744495153427124,0.0,0.45989885926246643,0.45989885926246643
9,0.9561972618103027,0.42027515172958374,0.0007976026390679181,0.5451023578643799,0.6123191118240356,0.9749928116798401,0.0,0.44412028789520264,0.44412028789520264
10,0.9578884243965149,0.4093949496746063,0.0007962562376633286,0.5375217795372009,0.6065138578414917,0.9752795696258545,0.0,0.44741150736808777,0.44741150736808777
11,0.959003746509552,0.4018130302429199,0.000794612686149776,0.5322889089584351,0.6025463938713074,0.9650925993919373,0.0,0.48350974917411804,0.48350974917411804
12,0.9600184559822083,0.3941357731819153,0.0007926733233034611,0.5270383954048157,0.5986009836196899,0.9776338934898376,0.0,0.4335642158985138,0.4335642158985138
13,0.9608039259910583,0.3870154619216919,0.0007904395461082458,0.5223504304885864,0.5952242016792297,0.9715518951416016,0.0,0.4479551911354065,0.4479551911354065
14,0.9609744548797607,0.3825511932373047,0.0007879131007939577,0.5196248292922974,0.5934348702430725,0.9743740558624268,0.0,0.45060473680496216,0.45060473680496216
15,0.9616173505783081,0.37782400846481323,0.0007850958500057459,0.515653669834137,0.5898712873458862,0.9750531911849976,0.0,0.44100072979927063,0.44100072979927063
16,0.9621121287345886,0.3731076121330261,0.0007819899474270642,0.5129085779190063,0.5881874561309814,0.9758983254432678,0.0,0.43352577090263367,0.43352577090263367
17,0.9624447822570801,0.3686491847038269,0.000778597837779671,0.5095380544662476,0.5854014158248901,0.9750682711601257,0.0,0.4442436397075653,0.4442436397075653
18,0.9633644819259644,0.3653673529624939,0.0007749219657853246,0.5072420239448547,0.5836387872695923,0.9773018956184387,0.0,0.4348379075527191,0.4348379075527191
19,0.963649570941925,0.36252516508102417,0.0007709651836194098,0.5060463547706604,0.583327054977417,0.9784941077232361,0.0,0.42964109778404236,0.42964109778404236
20,0.9646251201629639,0.3583631217479706,0.0007667304598726332,0.5023002028465271,0.5798022747039795,0.9813766479492188,0.0,0.4155275523662567,0.4155275523662567
21,0.9647313952445984,0.35652294754981995,0.000762221054174006,0.5017095804214478,0.5798887014389038,0.9771509766578674,0.0,0.43372035026550293,0.43372035026550293
22,0.9643763899803162,0.35461553931236267,0.000757440400775522,0.5002285242080688,0.5786315202713013,0.981648325920105,0.0,0.40911057591438293,0.40911057591438293
23,0.9652373194694519,0.35131022334098816,0.0007523921085521579,0.49794602394104004,0.5769046545028687,0.9780111908912659,0.0,0.4273134469985962,0.4273134469985962
24,0.965315580368042,0.3509049117565155,0.0007470800192095339,0.49735480546951294,0.5762144327163696,0.9818596243858337,0.0,0.4141087234020233,0.4141087234020233
25,0.9658746719360352,0.3468899726867676,0.0007415081490762532,0.49478963017463684,0.574429452419281,0.9803353548049927,0.0,0.42175450921058655,0.42175450921058655
26,0.9661737680435181,0.34416306018829346,0.0007356807473115623,0.4931209981441498,0.5733295679092407,0.9821765422821045,0.0,0.41216912865638733,0.41216912865638733
27,0.9662967324256897,0.3433764576911926,0.0007296022376976907,0.4924577474594116,0.5727307796478271,0.9595840573310852,0.0,0.5107648968696594,0.5107648968696594
28,0.9666433930397034,0.34121689200401306,0.0007232772186398506,0.4909888505935669,0.5716350674629211,0.9775886535644531,0.0,0.43502193689346313,0.43502193689346313
29,0.9668614268302917,0.3410842716693878,0.0007167105213738978,0.490492582321167,0.5709410905838013,0.9754606485366821,0.0,0.4441779553890228,0.4441779553890228
30,0.9670766592025757,0.338891863822937,0.0007099070935510099,0.48934412002563477,0.5703579187393188,0.9812710285186768,0.0,0.4133271872997284,0.4133271872997284
31,0.9672219753265381,0.33692437410354614,0.0007028721156530082,0.4878237545490265,0.569079577922821,0.9794750809669495,0.0,0.41599932312965393,0.41599932312965393
32,0.9669815897941589,0.33577051758766174,0.0006956109427846968,0.48747751116752625,0.5691655874252319,0.9769396781921387,0.0,0.4258381426334381,0.4258381426334381
33,0.9672527313232422,0.3350924849510193,0.0006881291046738625,0.4867064654827118,0.5683444738388062,0.9814370274543762,0.0,0.4089970886707306,0.4089970886707306
34,0.9677866697311401,0.3337615430355072,0.0006804322474636137,0.48553013801574707,0.56725013256073,0.983398973941803,0.0,0.40595948696136475,0.40595948696136475
35,0.9679012894630432,0.33134111762046814,0.000672526191920042,0.484092116355896,0.5663410425186157,0.9810446500778198,0.0,0.41215798258781433,0.41215798258781433
36,0.9678900837898254,0.33048033714294434,0.0006644170498475432,0.48360833525657654,0.5660627484321594,0.9826594591140747,0.0,0.4087999761104584,0.4087999761104584
37,0.9681612253189087,0.3296148478984833,0.0006561108748428524,0.48273488879203796,0.5651841759681702,0.9817841649055481,0.0,0.41083136200904846,0.41083136200904846
38,0.9685889482498169,0.3282506763935089,0.000647614011541009,0.4819129705429077,0.5646557807922363,0.9816030263900757,0.0,0.4129199981689453,0.4129199981689453
39,0.9678369760513306,0.32789307832717896,0.0006389329209923744,0.48145222663879395,0.5641407370567322,0.9824180006980896,0.0,0.407731294631958,0.407731294631958
40,0.9688209295272827,0.3257744312286377,0.000630074180662632,0.48027855157852173,0.5634721517562866,0.9836102724075317,0.0,0.4014096260070801,0.4014096260070801
41,0.9687342643737793,0.3256976902484894,0.0006210445426404476,0.4796525239944458,0.5625502467155457,0.9830065965652466,0.0,0.40660831332206726,0.40660831332206726
42,0.9691926836967468,0.3245442807674408,0.0006118508172221482,0.478886216878891,0.5619930028915405,0.9834744334220886,0.0,0.4034978747367859,0.4034978747367859
43,0.9691256284713745,0.3225957751274109,0.0006024999893270433,0.4777766466140747,0.5613362193107605,0.9836857318878174,0.0,0.4055593013763428,0.4055593013763428
44,0.9693800210952759,0.3214779198169708,0.0005929992184974253,0.4771420955657959,0.5609592795372009,0.9831273555755615,0.0,0.40220731496810913,0.40220731496810913
45,0.9689635038375854,0.32196351885795593,0.0005833556642755866,0.477317750453949,0.5609688758850098,0.9829311370849609,0.0,0.4049214720726013,0.4049214720726013
46,0.9693827629089355,0.32072940468788147,0.0005735767190344632,0.4770296812057495,0.5611927509307861,0.9837158918380737,0.0,0.4042015075683594,0.4042015075683594
47,0.969008207321167,0.3192214369773865,0.0005636697169393301,0.4759329855442047,0.5603165030479431,0.9829311370849609,0.0,0.405091792345047,0.405091792345047
48,0.969835638999939,0.3184111416339874,0.0005536422249861062,0.4751102328300476,0.5594886541366577,0.9827349185943604,0.0,0.4054397642612457,0.4054397642612457
49,0.9698971509933472,0.317031592130661,0.0005435018101707101,0.47389647364616394,0.5583630800247192,0.9843799471855164,0.0,0.3976329267024994,0.3976329267024994
50,0.9698160886764526,0.31681159138679504,0.0005332562723197043,0.4739988446235657,0.5586382746696472,0.9844403266906738,0.0,0.40407347679138184,0.40407347679138184
51,0.969883143901825,0.31608784198760986,0.0005229133530519903,0.4732513725757599,0.5578792691230774,0.9823727607727051,0.0,0.40679141879081726,0.40679141879081726
52,0.9701822400093079,0.3148663640022278,0.0005124808521941304,0.47243690490722656,0.5572803020477295,0.9839121103286743,0.0,0.4031296372413635,0.4031296372413635
53,0.9703835248947144,0.31437864899635315,0.0005019667441956699,0.4720907211303711,0.5570131540298462,0.9821463823318481,0.0,0.409819096326828,0.409819096326828
54,0.9703388214111328,0.31316816806793213,0.0004913790035061538,0.4713214337825775,0.5564831495285034,0.9842591881752014,0.0,0.39792779088020325,0.39792779088020325
