true\pred,call,dislike,fist,four,like,mute,ok,one,palm,peace,peace_inverted,rock,stop,stop_inverted,three,three2,two_up,two_up_inverted
call,34,3,0,0,0,0,1,9,0,0,0,0,0,1,0,1,0,1
dislike,16,11,3,0,2,1,1,11,0,0,1,0,0,2,0,0,0,2
fist,23,11,1,0,0,1,0,9,0,0,0,1,0,1,0,0,1,2
four,34,2,2,0,0,3,1,4,0,0,0,1,0,1,0,0,0,2
like,34,3,1,0,1,2,1,1,0,1,2,1,0,0,0,0,1,2
mute,35,1,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,5
ok,33,8,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,3
one,30,8,1,0,0,0,1,5,0,0,0,1,0,0,0,0,1,3
palm,32,1,2,0,0,0,1,5,2,1,1,3,0,0,0,0,0,2
peace,32,7,2,0,1,0,0,4,0,0,1,1,0,2,0,0,0,0
peace_inverted,36,6,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0
rock,32,5,2,0,1,1,1,5,0,0,1,0,0,1,0,0,0,1
stop,32,7,2,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0
stop_inverted,29,8,3,0,1,0,3,1,0,0,1,0,0,3,0,0,0,1
three,35,6,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1
three2,28,5,1,0,2,1,0,7,0,1,0,0,0,0,0,2,1,2
two_up,29,7,3,0,0,1,1,2,0,0,1,0,0,2,0,0,1,3
two_up_inverted,26,8,3,0,1,1,0,5,0,0,2,0,0,0,0,0,1,3
