true\pred,call,dislike,fist,four,like,mute,ok,one,palm,peace,peace_inverted,rock,stop,stop_inverted,three,three2,two_up,two_up_inverted
call,34,3,0,0,0,0,1,9,0,0,0,0,0,1,0,1,0,1
dislike,16,12,3,0,2,1,1,10,0,0,1,0,0,2,0,0,0,2
fist,21,12,1,0,0,2,0,10,0,0,0,0,0,1,0,0,1,2
four,37,3,2,0,0,2,0,3,0,0,0,1,0,0,0,0,0,2
like,35,2,2,0,1,2,2,1,0,0,1,1,0,0,0,0,1,2
mute,34,1,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,5
ok,34,8,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2
one,28,9,1,0,0,0,1,5,0,0,0,2,0,0,0,0,1,3
palm,34,1,1,0,0,0,1,5,2,1,1,2,0,0,0,0,0,2
peace,31,7,2,0,1,0,1,4,0,0,1,1,0,2,0,0,0,0
peace_inverted,36,6,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0
rock,33,4,2,0,1,1,1,5,0,0,1,0,0,0,0,0,0,2
stop,33,5,2,0,0,0,2,6,0,0,0,1,0,1,0,0,0,0
stop_inverted,30,7,3,0,1,0,3,2,0,0,0,0,0,3,0,0,0,1
three,35,6,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1
three2,29,5,1,0,2,1,0,6,0,1,0,0,0,0,0,2,1,2
two_up,28,8,3,0,0,1,1,2,0,0,1,0,0,2,0,0,1,3
two_up_inverted,26,9,3,0,0,1,0,5,0,0,2,0,0,0,0,0,1,3
